ID,city,state_name,fun_fact,Unnamed: 0,city_ascii,state_id,county_fips,county_name,lat,lng,population,density,source,military,incorporated,timezone,ranking,zips,id,active_cities
38,Salt Lake City,Utah,"Salt Lake City is home to the headquarters of The Church of Jesus Christ of Latter-day Saints Salt Lake City is also known for its outdoor recreational opportunities, including skiing.",43,Salt Lake City,UT,49035,Salt Lake,40.7777,-111.9306,1098526,699,polygon,False,True,America/Denver,1,84116 84115 84113 84112 84111 84144 84128 84180 84108 84101 84102 84103 84104 84105 84106 84110 84114 84122 84132 84133 84134 84138 84139 84143 84145 84147 84148 84150 84151 84152 84158 84199,1840021383,0
39,Tucson,Arizona,"Tucson is known for its desert landscapes and unique cacti Tucson is also home to the University of Arizona, a major research institution.",55,Tucson,AZ,4019,Pima,32.1545,-110.8782,888486,889,polygon,False,True,America/Phoenix,2,85705 85707 85706 85756 85723 85726 85724 85701 85708 85711 85748 85745 85747 85716 85714 85715 85712 85713 85710 85719 85730 85702 85703 85709 85717 85720 85721 85722 85725 85731 85732 85738 85751 85754 85775,1840022101,0
40,Anchorage,Alaska,"Anchorage is the largest city in Alaska and a hub for Arctic exploration Anchorage is also known for its outdoor activities, including hiking and dog sledding.",150,Anchorage,AK,2020,Anchorage,61.1508,-149.1091,288000,65,polygon,False,True,America/Anchorage,2,99518 99515 99517 99516 99513 99540 99567 99587 99508 99506 99507 99504 99505 99502 99503 99501 99577 99509 99511 99514 99520 99521 99522 99523 99524 99529 99530 99599,1840023385,0
41,Fresno,California,Fresno is located in the heart of California's Central Valley and is a major agricultural hub Fresno is also known for its proximity to national parks like Yosemite.,65,Fresno,CA,6019,Fresno,36.7831,-119.7941,703498,1789,polygon,False,True,America/Los_Angeles,2,93730 93650 93702 93703 93701 93706 93704 93705 93728 93720 93721 93722 93726 93727 93711 93710 93707 93708 93709 93714 93715 93716 93717 93718 93724 93729 93740 93744 93745 93750 93755 93760 93761 93764 93765 93771 93772 93774 93775 93776 93777 93778 93779 93790 93791 93792 93793 93794 93844,1840020319,0
42,Birmingham,Alabama,Birmingham played a key role in the Civil Rights Movement Birmingham is also known for its growing craft beer scene.,61,Birmingham,AL,1073,Jefferson,33.5277,-86.7987,739573,553,polygon,False,True,America/Chicago,2,35218 35214 35215 35217 35210 35211 35212 35213 35243 35242 35224 35221 35222 35228 35203 35207 35206 35205 35204 35209 35208 35254 35068 35061 35234 35235 35233 35201 35202 35220 35232 35237 35238 35246 35249 35255 35259 35261 35270 35282 35283 35285 35287 35290 35291 35292 35294 35295 35297 35298,1840006507,0
43,New Orleans,Louisiana,"New Orleans is famous for its Mardi Gras celebrations New Orleans is also known for its Creole cuisine, including gumbo and beignets.",48,New Orleans,LA,22071,Orleans,30.0687,-89.9288,1020886,889,polygon,False,True,America/Chicago,1,70139 70130 70131 70114 70115 70116 70117 70112 70113 70118 70119 70129 70128 70125 70124 70127 70126 70122 70163 70142 70145 70146 70148 70150 70151 70152 70153 70154 70156 70157 70158 70159 70160 70161 70162 70164 70165 70166 70167 70170 70172 70174 70175 70176 70177 70178 70179 70181 70182 70184 70185 70186 70187 70189 70190 70195,1840001839,0
44,St. Petersburg,Florida,St Petersburg is known for having the most sunny days of any city in the U.S St Petersburg is also famous for its Salvador Dalí Museum.,168,St. Petersburg,FL,12103,Pinellas,27.7931,-82.6652,265351,1656,polygon,False,True,America/New_York,2,33707 33702 33762 33713 33712 33711 33710 33716 33715 33714 33705 33701 33703 33704 33729 33731 33732 33733 33734 33742 33743 33747,1840015977,0
45,Macon,Georgia,Macon is known as the 'Cherry Blossom Capital of the World.' Macon is also famous for being the birthplace of the Allman Brothers Band.,290,Macon,GA,13021,Bibb,32.8065,-83.6974,153159,237,polygon,False,True,America/New_York,2,31206 31052 31210 31211 31213 31216 31217 31207 31204 31201 31220 31202 31203 31205 31208 31209 31221 31294 31295 31296 31297,1840043455,0
46,Lubbock,Texas,"Lubbock is known as the birthplace of rock 'n' roll legend Buddy Holly Lubbock is also home to Texas Tech University, a major research institution.",164,Lubbock,TX,48303,Lubbock,33.5659,-101.8878,267648,741,polygon,False,True,America/Chicago,2,79406 79423 79424 79416 79412 79413 79410 79411 79414 79404 79407 79401 79403 79415 79402 79408 79409 79430 79452 79453 79457 79464 79490 79491 79493 79499,1840020604,0
47,Shreveport,Louisiana,Shreveport is known for its casinos and riverboat culture Shreveport is also famous for its Southern hospitality and vibrant local music scene.,157,Shreveport,LA,22017,Caddo,32.4656,-93.7956,280062,672,polygon,False,True,America/Chicago,2,71129 71101 71103 71104 71105 71106 71107 71108 71109 71119 71118 71102 71120 71130 71133 71134 71135 71136 71138 71148 71149 71151 71152 71153 71154 71156 71161 71162 71163 71164 71165 71166,1840015768,0
48,Peoria,Illinois,Peoria is known for its long history in agriculture and as the birthplace of the Caterpillar Tractor Company Peoria is also famous for its role in the development of the rail industry.,179,Peoria,IL,17143,Peoria,40.752,-89.6153,256286,888,polygon,False,True,America/Chicago,2,61625 61606 61615 61614 61605 61602 61603 61604 61601 61613 61629 61630 61634 61636 61637 61638 61639 61643 61651 61652 61653 61654 61655 61656,1840009373,0
49,Grand Rapids,Michigan,Grand Rapids is known as 'Furniture City' for its history in the furniture industry Grand Rapids is also famous for its craft breweries and arts scene.,73,Grand Rapids,MI,26081,Kent,42.962,-85.6562,609314,1734,polygon,False,True,America/Detroit,2,49546 49507 49506 49505 49504 49503 49508 49501 49502 49514 49515 49523 49555 49588 49599,1840002928,0
